組別,建築,斜率,截距,R²,p值,樣本數
全時段,新生,2.0664,30.419,0.2517,7.28e-13,180
全時段,博雅,3.3725,46.227,0.3069,7.17e-16,180
全時段,共同,2.7311,1.302,0.2879,8.27e-15,180
全時段,普通,0.9717,21.139,0.053,1.87e-03,180
排除8點,新生,1.2858,42.041,0.092,9.63e-05,160
排除8點,博雅,1.6151,71.372,0.0711,6.55e-04,160
排除8點,共同,1.5113,27.231,0.0781,3.44e-04,160
排除8點,普通,0.4003,34.367,0.0095,2.19e-01,160
排除8點＋12點,新生,1.3135,41.523,0.0601,3.51e-03,140
排除8點＋12點,博雅,2.5822,56.132,0.1426,4.23e-06,140
排除8點＋12點,共同,2.0887,13.785,0.1191,2.96e-05,140
排除8點＋12點,普通,1.3087,14.935,0.0495,8.22e-03,140
