學年度學期,星期,08:00~09:00,09:00~10:00,10:00~11:00,11:00~12:00,12:00~13:00,13:00~14:00,14:00~15:00,15:00~16:00,16:00~17:00
1131,星期一,5,17,23,23,12,15,18,19,17
1131,星期二,11,22,28,27,19,23,23,24,22
1131,星期三,8,22,22,22,13,20,22,24,21
1131,星期四,10,19,24,24,16,22,23,23,20
1131,星期五,10,20,21,21,9,13,15,10,9
1132,星期一,3,12,21,20,13,15,19,21,16
1132,星期二,7,19,27,26,18,21,25,22,20
1132,星期三,6,22,25,25,13,21,20,21,19
1132,星期四,7,16,26,26,16,22,26,25,21
1132,星期五,8,16,24,24,9,13,15,11,8
1141,星期一,8,15,20,21,13,13,23,23,22
1141,星期二,10,21,26,25,17,23,24,23,20
1141,星期三,9,23,21,21,14,21,23,24,20
1141,星期四,10,18,24,25,16,20,20,22,19
1141,星期五,11,22,20,20,8,16,18,15,12
1142,星期一,3,11,24,23,15,15,21,24,19
1142,星期二,7,18,25,24,17,23,25,23,20
1142,星期三,5,21,24,24,14,22,24,25,22
1142,星期四,7,16,26,27,15,21,21,24,20
1142,星期五,7,15,22,22,7,13,16,13,11
