年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期一,0,00:00~01:00,30.05666666666667
113-1,星期一,1,01:00~02:00,29.912499999999998
113-1,星期一,2,02:00~03:00,30.0425
113-1,星期一,3,03:00~04:00,30.3125
113-1,星期一,4,04:00~05:00,29.46333333333334
113-1,星期一,5,05:00~06:00,31.674166666666665
113-1,星期一,6,06:00~07:00,33.56166666666667
113-1,星期一,7,07:00~08:00,86.73615384615384
113-1,星期一,8,08:00~09:00,116.57846153846155
113-1,星期一,9,09:00~10:00,147.52153846153846
113-1,星期一,10,10:00~11:00,160.94
113-1,星期一,11,11:00~12:00,175.9030769230769
113-1,星期一,12,12:00~13:00,172.5853846153846
113-1,星期一,13,13:00~14:00,171.41499999999996
113-1,星期一,14,14:00~15:00,177.14153846153846
113-1,星期一,15,15:00~16:00,178.4941666666667
113-1,星期一,16,16:00~17:00,164.25923076923075
113-1,星期一,17,17:00~18:00,156.29
113-1,星期一,18,18:00~19:00,111.91916666666667
113-1,星期一,19,19:00~20:00,37.45230769230769
113-1,星期一,20,20:00~21:00,34.80692307692308
113-1,星期一,21,21:00~22:00,34.54384615384616
113-1,星期一,22,22:00~23:00,32.90666666666666
113-1,星期一,23,23:00~24:00,32.52
113-1,星期二,0,00:00~01:00,30.723846153846157
113-1,星期二,1,01:00~02:00,29.685454545454547
113-1,星期二,2,02:00~03:00,29.78307692307692
113-1,星期二,3,03:00~04:00,30.64538461538462
113-1,星期二,4,04:00~05:00,30.11
113-1,星期二,5,05:00~06:00,29.92833333333333
113-1,星期二,6,06:00~07:00,32.559999999999995
113-1,星期二,7,07:00~08:00,58.14999999999999
113-1,星期二,8,08:00~09:00,128.45153846153846
113-1,星期二,9,09:00~10:00,148.96384615384616
113-1,星期二,10,10:00~11:00,168.71230769230772
113-1,星期二,11,11:00~12:00,177.5723076923077
113-1,星期二,12,12:00~13:00,172.8023076923077
113-1,星期二,13,13:00~14:00,174.24384615384616
113-1,星期二,14,14:00~15:00,170.5707692307692
113-1,星期二,15,15:00~16:00,175.48076923076923
113-1,星期二,16,16:00~17:00,167.94923076923078
113-1,星期二,17,17:00~18:00,149.57384615384618
113-1,星期二,18,18:00~19:00,115.67750000000001
113-1,星期二,19,19:00~20:00,38.252500000000005
113-1,星期二,20,20:00~21:00,31.959166666666672
113-1,星期二,21,21:00~22:00,32.36833333333333
113-1,星期二,22,22:00~23:00,30.990769230769224
113-1,星期二,23,23:00~24:00,31.204615384615387
113-1,星期三,0,00:00~01:00,29.947499999999994
113-1,星期三,1,01:00~02:00,30.11538461538461
113-1,星期三,2,02:00~03:00,29.291666666666668
113-1,星期三,3,03:00~04:00,30.64153846153846
113-1,星期三,4,04:00~05:00,29.41230769230769
113-1,星期三,5,05:00~06:00,28.964166666666667
113-1,星期三,6,06:00~07:00,32.69416666666667
113-1,星期三,7,07:00~08:00,68.83615384615385
113-1,星期三,8,08:00~09:00,87.14615384615384
113-1,星期三,9,09:00~10:00,121.32692307692308
113-1,星期三,10,10:00~11:00,134.85538461538462
113-1,星期三,11,11:00~12:00,142.85692307692307
113-1,星期三,12,12:00~13:00,141.30153846153843
113-1,星期三,13,13:00~14:00,139.38
113-1,星期三,14,14:00~15:00,151.26
113-1,星期三,15,15:00~16:00,148.2123076923077
113-1,星期三,16,16:00~17:00,144.27230769230772
113-1,星期三,17,17:00~18:00,129.03571428571428
113-1,星期三,18,18:00~19:00,91.90714285714286
113-1,星期三,19,19:00~20:00,37.36666666666667
113-1,星期三,20,20:00~21:00,34.78230769230769
113-1,星期三,21,21:00~22:00,34.04285714285714
113-1,星期三,22,22:00~23:00,34.18928571428571
113-1,星期三,23,23:00~24:00,32.84142857142857
113-1,星期四,0,00:00~01:00,30.44
113-1,星期四,1,01:00~02:00,29.615833333333338
113-1,星期四,2,02:00~03:00,30.014285714285712
113-1,星期四,3,03:00~04:00,30.493076923076924
113-1,星期四,4,04:00~05:00,29.43769230769231
113-1,星期四,5,05:00~06:00,28.87642857142857
113-1,星期四,6,06:00~07:00,33.487857142857145
113-1,星期四,7,07:00~08:00,60.894999999999996
113-1,星期四,8,08:00~09:00,70.38857142857144
113-1,星期四,9,09:00~10:00,101.6942857142857
113-1,星期四,10,10:00~11:00,111.4492857142857
113-1,星期四,11,11:00~12:00,118.45285714285713
113-1,星期四,12,12:00~13:00,119.23357142857142
113-1,星期四,13,13:00~14:00,122.52071428571426
113-1,星期四,14,14:00~15:00,127.59142857142855
113-1,星期四,15,15:00~16:00,122.95071428571428
113-1,星期四,16,16:00~17:00,117.70928571428571
113-1,星期四,17,17:00~18:00,112.72285714285715
113-1,星期四,18,18:00~19:00,93.97142857142856
113-1,星期四,19,19:00~20:00,37.09615384615385
113-1,星期四,20,20:00~21:00,31.492499999999996
113-1,星期四,21,21:00~22:00,31.533846153846152
113-1,星期四,22,22:00~23:00,30.308333333333334
113-1,星期四,23,23:00~24:00,29.989230769230765
113-1,星期五,0,00:00~01:00,30.086923076923078
113-1,星期五,1,01:00~02:00,29.343333333333334
113-1,星期五,2,02:00~03:00,29.442307692307693
113-1,星期五,3,03:00~04:00,30.665384615384614
113-1,星期五,4,04:00~05:00,29.840769230769233
