年度學期,星期,功率_kW
113-1,星期一,758.1090792540792
113-1,星期二,778.0176048951049
113-1,星期三,503.88222027972023
113-1,星期四,305.261396103896
113-1,星期五,543.6099125874125
113-2,星期一,239.3920952380953
113-2,星期二,426.6686556776557
113-2,星期三,410.66357142857146
113-2,星期四,415.6277619047619
113-2,星期五,271.46901098901094
114-1,星期一,588.2797582417581
114-1,星期二,760.5130915750916
114-1,星期三,798.807758241758
114-1,星期四,674.5929377289377
114-1,星期五,487.26528205128193
114-2,星期一,347.1776388888889
114-2,星期二,355.92722222222216
114-2,星期三,218.76166666666668
114-2,星期四,319.81791666666663
114-2,星期五,45.86347222222223
