年度學期,星期,功率_kW,課堂數,功率_每堂課_kW
113-1,星期一,758.1090792540792,149,5.087980397678384
113-1,星期二,778.0176048951049,199,3.90963620550304
113-1,星期三,503.8822202797202,174,2.895874829193794
113-1,星期四,305.261396103896,181,1.686527050297768
113-1,星期五,543.6099125874125,128,4.24695244208916
113-2,星期一,239.3920952380953,140,1.7099435374149663
113-2,星期二,426.6686556776557,185,2.3063170577170578
113-2,星期三,410.66357142857146,172,2.3875789036544854
113-2,星期四,415.6277619047619,185,2.2466365508365507
113-2,星期五,271.46901098901094,128,2.120851648351648
114-1,星期一,588.2797582417581,158,3.7232896091250516
114-1,星期二,760.5130915750916,189,4.023878791402601
114-1,星期三,798.807758241758,176,4.538680444555443
114-1,星期四,674.5929377289377,174,3.8769709064881477
114-1,星期五,487.26528205128193,142,3.4314456482484643
114-2,星期一,347.1776388888889,155,2.2398557347670254
114-2,星期二,355.92722222222216,182,1.9556440781440778
114-2,星期三,218.76166666666668,181,1.2086279926335175
114-2,星期四,319.81791666666663,177,1.8068808851224103
114-2,星期五,45.86347222222223,126,0.363995811287478
