年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-1,星期一,7,07:00~08:00,86.73615384615384,29.075454545454544,57.66069930069929
113-1,星期一,8,08:00~09:00,116.57846153846155,85.79166666666669,30.786794871794868
113-1,星期一,9,09:00~10:00,147.52153846153846,78.32249999999999,69.19903846153846
113-1,星期一,10,10:00~11:00,160.94,79.26333333333332,81.67666666666668
113-1,星期一,11,11:00~12:00,175.9030769230769,72.10181818181819,103.8012587412587
113-1,星期一,12,12:00~13:00,172.5853846153846,78.89999999999999,93.68538461538462
113-1,星期一,13,13:00~14:00,171.41499999999996,77.20833333333333,94.20666666666664
113-1,星期一,14,14:00~15:00,177.14153846153846,78.80416666666667,98.33737179487179
113-1,星期一,15,15:00~16:00,178.4941666666667,77.96916666666665,100.52500000000005
113-1,星期一,16,16:00~17:00,164.25923076923075,78.36833333333335,85.8908974358974
113-1,星期一,17,17:00~18:00,156.29,73.9175,82.37249999999999
113-1,星期二,7,07:00~08:00,58.14999999999999,29.075454545454544,29.074545454545447
113-1,星期二,8,08:00~09:00,128.45153846153846,85.79166666666669,42.659871794871776
113-1,星期二,9,09:00~10:00,148.96384615384616,78.32249999999999,70.64134615384617
113-1,星期二,10,10:00~11:00,168.71230769230772,79.26333333333332,89.4489743589744
113-1,星期二,11,11:00~12:00,177.5723076923077,72.10181818181819,105.47048951048951
113-1,星期二,12,12:00~13:00,172.8023076923077,78.89999999999999,93.9023076923077
113-1,星期二,13,13:00~14:00,174.24384615384616,77.20833333333333,97.03551282051284
113-1,星期二,14,14:00~15:00,170.5707692307692,78.80416666666667,91.76660256410253
113-1,星期二,15,15:00~16:00,175.48076923076923,77.96916666666665,97.51160256410257
113-1,星期二,16,16:00~17:00,167.94923076923078,78.36833333333335,89.58089743589743
113-1,星期二,17,17:00~18:00,149.57384615384618,73.9175,75.65634615384617
113-1,星期三,7,07:00~08:00,68.83615384615385,29.075454545454544,39.7606993006993
113-1,星期三,8,08:00~09:00,87.14615384615384,85.79166666666669,1.3544871794871511
113-1,星期三,9,09:00~10:00,121.32692307692308,78.32249999999999,43.00442307692309
113-1,星期三,10,10:00~11:00,134.85538461538462,79.26333333333332,55.5920512820513
113-1,星期三,11,11:00~12:00,142.85692307692307,72.10181818181819,70.75510489510488
113-1,星期三,12,12:00~13:00,141.30153846153843,78.89999999999999,62.401538461538436
113-1,星期三,13,13:00~14:00,139.38,77.20833333333333,62.17166666666667
113-1,星期三,14,14:00~15:00,151.26,78.80416666666667,72.45583333333332
113-1,星期三,15,15:00~16:00,148.2123076923077,77.96916666666665,70.24314102564104
113-1,星期三,16,16:00~17:00,144.27230769230772,78.36833333333335,65.90397435897437
113-1,星期三,17,17:00~18:00,129.03571428571428,73.9175,55.118214285714274
113-1,星期四,7,07:00~08:00,60.895,29.075454545454544,31.81954545454546
113-1,星期四,8,08:00~09:00,70.38857142857144,85.79166666666669,-15.403095238095247
113-1,星期四,9,09:00~10:00,101.6942857142857,78.32249999999999,23.371785714285707
113-1,星期四,10,10:00~11:00,111.4492857142857,79.26333333333332,32.18595238095237
113-1,星期四,11,11:00~12:00,118.45285714285713,72.10181818181819,46.35103896103894
113-1,星期四,12,12:00~13:00,119.23357142857142,78.89999999999999,40.33357142857143
113-1,星期四,13,13:00~14:00,122.52071428571426,77.20833333333333,45.312380952380934
113-1,星期四,14,14:00~15:00,127.59142857142857,78.80416666666667,48.78726190476189
113-1,星期四,15,15:00~16:00,122.95071428571428,77.96916666666665,44.98154761904763
113-1,星期四,16,16:00~17:00,117.70928571428573,78.36833333333335,39.34095238095237
113-1,星期四,17,17:00~18:00,112.72285714285717,73.9175,38.80535714285716
113-1,星期五,7,07:00~08:00,86.9176923076923,29.075454545454544,57.84223776223776
113-1,星期五,8,08:00~09:00,103.8107692307692,85.79166666666669,18.01910256410251
113-1,星期五,9,09:00~10:00,126.77461538461536,78.32249999999999,48.45211538461537
113-1,星期五,10,10:00~11:00,147.59230769230768,79.26333333333332,68.32897435897436
113-1,星期五,11,11:00~12:00,151.6523076923077,72.10181818181819,79.5504895104895
