學年度學期,星期,08:00~09:00,09:00~10:00,10:00~11:00,11:00~12:00,12:00~13:00,13:00~14:00,14:00~15:00,15:00~16:00,16:00~17:00
1131,星期一,0,6,13,13,5,6,13,14,13
1131,星期二,0,13,20,21,5,14,20,18,13
1131,星期三,0,3,16,16,5,9,11,14,8
1131,星期四,1,5,17,17,8,6,13,15,12
1131,星期五,0,4,9,9,2,6,12,8,7
1132,星期一,0,10,14,14,4,7,17,17,15
1132,星期二,1,12,17,16,5,13,19,19,15
1132,星期三,0,9,15,15,4,12,17,18,11
1132,星期四,1,9,18,19,9,10,14,15,11
1132,星期五,0,8,16,16,5,13,19,15,9
1141,星期一,0,8,13,13,6,9,15,17,12
1141,星期二,0,10,17,18,4,16,21,20,13
1141,星期三,0,6,18,19,7,7,10,14,9
1141,星期四,2,9,20,20,7,13,14,15,10
1141,星期五,0,5,13,13,2,11,15,12,4
1142,星期一,0,8,14,14,7,9,16,16,12
1142,星期二,0,12,22,21,9,16,21,21,15
1142,星期三,0,10,15,16,5,11,14,14,8
1142,星期四,2,10,20,20,7,16,21,17,11
1142,星期五,0,9,13,13,2,6,13,11,6
