年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期一,0,00:00~01:00,47.74571428571428
113-1,星期一,1,01:00~02:00,48.175333333333334
113-1,星期一,2,02:00~03:00,42.474000000000004
113-1,星期一,3,03:00~04:00,44.93000000000001
113-1,星期一,4,04:00~05:00,44.49142857142857
113-1,星期一,5,05:00~06:00,41.763999999999996
113-1,星期一,6,06:00~07:00,47.14200000000001
113-1,星期一,7,07:00~08:00,77.68733333333333
113-1,星期一,8,08:00~09:00,154.82466666666667
113-1,星期一,9,09:00~10:00,224.5733333333333
113-1,星期一,10,10:00~11:00,257.4800000000001
113-1,星期一,11,11:00~12:00,267.6526666666667
113-1,星期一,12,12:00~13:00,267.374
113-1,星期一,13,13:00~14:00,262.2866666666667
113-1,星期一,14,14:00~15:00,264.73133333333334
113-1,星期一,15,15:00~16:00,292.6933333333333
113-1,星期一,16,16:00~17:00,284.722
113-1,星期一,17,17:00~18:00,271.398
113-1,星期一,18,18:00~19:00,150.56214285714287
113-1,星期一,19,19:00~20:00,119.87499999999999
113-1,星期一,20,20:00~21:00,109.67066666666668
113-1,星期一,21,21:00~22:00,95.54071428571429
113-1,星期一,22,22:00~23:00,59.44133333333334
113-1,星期一,23,23:00~24:00,51.355333333333334
113-1,星期二,0,00:00~01:00,46.830000000000005
113-1,星期二,1,01:00~02:00,46.160714285714285
113-1,星期二,2,02:00~03:00,45.382666666666665
113-1,星期二,3,03:00~04:00,43.955333333333336
113-1,星期二,4,04:00~05:00,47.14214285714286
113-1,星期二,5,05:00~06:00,45.215714285714284
113-1,星期二,6,06:00~07:00,47.35357142857144
113-1,星期二,7,07:00~08:00,77.43533333333333
113-1,星期二,8,08:00~09:00,133.19642857142858
113-1,星期二,9,09:00~10:00,214.49142857142851
113-1,星期二,10,10:00~11:00,226.80133333333333
113-1,星期二,11,11:00~12:00,262.8778571428571
113-1,星期二,12,12:00~13:00,253.24866666666665
113-1,星期二,13,13:00~14:00,237.60000000000005
113-1,星期二,14,14:00~15:00,265.2213333333333
113-1,星期二,15,15:00~16:00,264.6213333333333
113-1,星期二,16,16:00~17:00,237.94199999999995
113-1,星期二,17,17:00~18:00,223.28799999999998
113-1,星期二,18,18:00~19:00,147.9442857142857
113-1,星期二,19,19:00~20:00,102.88571428571429
113-1,星期二,20,20:00~21:00,91.745
113-1,星期二,21,21:00~22:00,86.04499999999999
113-1,星期二,22,22:00~23:00,56.03357142857143
113-1,星期二,23,23:00~24:00,53.29785714285715
113-1,星期三,0,00:00~01:00,47.46071428571428
113-1,星期三,1,01:00~02:00,44.567857142857136
113-1,星期三,2,02:00~03:00,47.59571428571429
113-1,星期三,3,03:00~04:00,44.410666666666664
113-1,星期三,4,04:00~05:00,47.59533333333333
113-1,星期三,5,05:00~06:00,45.573333333333345
113-1,星期三,6,06:00~07:00,47.31499999999999
113-1,星期三,7,07:00~08:00,73.32333333333332
113-1,星期三,8,08:00~09:00,135.45
113-1,星期三,9,09:00~10:00,182.42933333333323
113-1,星期三,10,10:00~11:00,228.34066666666666
113-1,星期三,11,11:00~12:00,240.84466666666665
113-1,星期三,12,12:00~13:00,247.0192857142857
113-1,星期三,13,13:00~14:00,231.93285714285716
113-1,星期三,14,14:00~15:00,239.65571428571428
113-1,星期三,15,15:00~16:00,258.25357142857143
113-1,星期三,16,16:00~17:00,247.14571428571432
113-1,星期三,17,17:00~18:00,222.4686666666667
113-1,星期三,18,18:00~19:00,179.41666666666666
113-1,星期三,19,19:00~20:00,112.07733333333333
113-1,星期三,20,20:00~21:00,103.53666666666668
113-1,星期三,21,21:00~22:00,99.77733333333335
113-1,星期三,22,22:00~23:00,58.461333333333336
113-1,星期三,23,23:00~24:00,53.46666666666667
113-1,星期四,0,00:00~01:00,44.947142857142865
113-1,星期四,1,01:00~02:00,44.81142857142858
113-1,星期四,2,02:00~03:00,46.26133333333334
113-1,星期四,3,03:00~04:00,43.61214285714285
113-1,星期四,4,04:00~05:00,46.89133333333333
113-1,星期四,5,05:00~06:00,45.308
113-1,星期四,6,06:00~07:00,44.85142857142858
113-1,星期四,7,07:00~08:00,64.088
113-1,星期四,8,08:00~09:00,121.02933333333335
113-1,星期四,9,09:00~10:00,166.56599999999997
113-1,星期四,10,10:00~11:00,204.78066666666666
113-1,星期四,11,11:00~12:00,218.3546666666667
113-1,星期四,12,12:00~13:00,219.48333333333338
113-1,星期四,13,13:00~14:00,206.75733333333335
113-1,星期四,14,14:00~15:00,219.14066666666668
113-1,星期四,15,15:00~16:00,227.16666666666669
113-1,星期四,16,16:00~17:00,225.6526666666667
113-1,星期四,17,17:00~18:00,215.91266666666664
113-1,星期四,18,18:00~19:00,155.00666666666666
113-1,星期四,19,19:00~20:00,125.242
113-1,星期四,20,20:00~21:00,120.96333333333334
113-1,星期四,21,21:00~22:00,109.64333333333335
113-1,星期四,22,22:00~23:00,56.21666666666667
113-1,星期四,23,23:00~24:00,49.94642857142856
113-1,星期五,0,00:00~01:00,45.99571428571429
113-1,星期五,1,01:00~02:00,43.95785714285713
113-1,星期五,2,02:00~03:00,45.71642857142857
113-1,星期五,3,03:00~04:00,45.80571428571428
113-1,星期五,4,04:00~05:00,46.889333333333326
113-1,星期五,5,05:00~06:00,44.286428571428566
113-1,星期五,6,06:00~07:00,45.915
113-1,星期五,7,07:00~08:00,73.31666666666666
113-1,星期五,8,08:00~09:00,139.82428571428574
113-1,星期五,9,09:00~10:00,189.63714285714286
113-1,星期五,10,10:00~11:00,236.56466666666665
113-1,星期五,11,11:00~12:00,246.8153333333333
113-1,星期五,12,12:00~13:00,247.294
113-1,星期五,13,13:00~14:00,213.43400000000005
113-1,星期五,14,14:00~15:00,254.98466666666664
113-1,星期五,15,15:00~16:00,251.07600000000002
113-1,星期五,16,16:00~17:00,211.50666666666666
113-1,星期五,17,17:00~18:00,191.42599999999996
113-1,星期五,18,18:00~19:00,127.34866666666667
113-1,星期五,19,19:00~20:00,108.44333333333331
113-1,星期五,20,20:00~21:00,102.88733333333333
113-1,星期五,21,21:00~22:00,96.49133333333333
113-1,星期五,22,22:00~23:00,54.69142857142857
113-1,星期五,23,23:00~24:00,51.35066666666667
113-1,星期六,0,00:00~01:00,47.73357142857143
113-1,星期六,1,01:00~02:00,45.26846153846154
113-1,星期六,2,02:00~03:00,43.415000000000006
113-1,星期六,3,03:00~04:00,43.533846153846156
113-1,星期六,4,04:00~05:00,45.807692307692314
113-1,星期六,5,05:00~06:00,44.462857142857146
113-1,星期六,6,06:00~07:00,42.69923076923077
113-1,星期六,7,07:00~08:00,71.45923076923077
113-1,星期六,8,08:00~09:00,119.12785714285715
113-1,星期六,9,09:00~10:00,123.5330769230769
113-1,星期六,10,10:00~11:00,130.5069230769231
113-1,星期六,11,11:00~12:00,135.58642857142857
113-1,星期六,12,12:00~13:00,152.35692307692307
113-1,星期六,13,13:00~14:00,151.72642857142858
113-1,星期六,14,14:00~15:00,161.36285714285714
113-1,星期六,15,15:00~16:00,162.0661538461538
113-1,星期六,16,16:00~17:00,147.6276923076923
113-1,星期六,17,17:00~18:00,145.70076923076925
113-1,星期六,18,18:00~19:00,88.39615384615384
113-1,星期六,19,19:00~20:00,72.95923076923079
113-1,星期六,20,20:00~21:00,66.85000000000001
113-1,星期六,21,21:00~22:00,59.10076923076922
113-1,星期六,22,22:00~23:00,51.645384615384614
113-1,星期六,23,23:00~24:00,48.167142857142856
113-1,星期日,0,00:00~01:00,43.839230769230774
113-1,星期日,1,01:00~02:00,43.846923076923076
113-1,星期日,2,02:00~03:00,43.59428571428572
113-1,星期日,3,03:00~04:00,43.202857142857134
113-1,星期日,4,04:00~05:00,45.385714285714286
113-1,星期日,5,05:00~06:00,43.15928571428572
113-1,星期日,6,06:00~07:00,43.84769230769231
113-1,星期日,7,07:00~08:00,63.033076923076926
113-1,星期日,8,08:00~09:00,87.14538461538463
113-1,星期日,9,09:00~10:00,96.55857142857145
113-1,星期日,10,10:00~11:00,96.4742857142857
113-1,星期日,11,11:00~12:00,94.76571428571427
113-1,星期日,12,12:00~13:00,100.52142857142856
113-1,星期日,13,13:00~14:00,110.06428571428573
113-1,星期日,14,14:00~15:00,129.92285714285714
113-1,星期日,15,15:00~16:00,123.96571428571427
113-1,星期日,16,16:00~17:00,112.59571428571428
113-1,星期日,17,17:00~18:00,100.50642857142859
113-1,星期日,18,18:00~19:00,61.32153846153846
113-1,星期日,19,19:00~20:00,57.16076923076923
113-1,星期日,20,20:00~21:00,56.644285714285715
113-1,星期日,21,21:00~22:00,54.99357142857143
113-1,星期日,22,22:00~23:00,51.681538461538466
113-1,星期日,23,23:00~24:00,46.135714285714286
113-2,星期一,0,00:00~01:00,42.634
113-2,星期一,1,01:00~02:00,44.216
113-2,星期一,2,02:00~03:00,44.65533333333333
113-2,星期一,3,03:00~04:00,43.61733333333333
113-2,星期一,4,04:00~05:00,45.458571428571425
113-2,星期一,5,05:00~06:00,44.721428571428575
113-2,星期一,6,06:00~07:00,43.926
113-2,星期一,7,07:00~08:00,45.90571428571429
113-2,星期一,8,08:00~09:00,110.60785714285714
113-2,星期一,9,09:00~10:00,147.42333333333335
113-2,星期一,10,10:00~11:00,163.18285714285713
113-2,星期一,11,11:00~12:00,169.2785714285714
113-2,星期一,12,12:00~13:00,171.04571428571427
113-2,星期一,13,13:00~14:00,163.64428571428576
113-2,星期一,14,14:00~15:00,197.09428571428572
113-2,星期一,15,15:00~16:00,208.4386666666667
113-2,星期一,16,16:00~17:00,192.38642857142858
113-2,星期一,17,17:00~18:00,191.53266666666664
113-2,星期一,18,18:00~19:00,126.04999999999998
113-2,星期一,19,19:00~20:00,92.26399999999998
113-2,星期一,20,20:00~21:00,84.97733333333333
113-2,星期一,21,21:00~22:00,74.42866666666666
113-2,星期一,22,22:00~23:00,55.658
113-2,星期一,23,23:00~24:00,49.30266666666668
113-2,星期二,0,00:00~01:00,47.14857142857142
113-2,星期二,1,01:00~02:00,44.21266666666667
