年度學期,星期,功率_kW
113-1,星期一,992.4436593406595
113-1,星期二,812.1060402930401
113-1,星期三,727.1774688644688
113-1,星期四,525.0369926739927
113-1,星期五,707.2424212454213
113-2,星期一,583.4894725274726
113-2,星期二,701.2728534798536
113-2,星期三,702.4779963369963
113-2,星期四,728.5083516483518
113-2,星期五,699.3881868131868
114-1,星期一,882.9065787545787
114-1,星期二,1199.203673992674
114-1,星期三,1100.0398168498168
114-1,星期四,1053.4940073260077
114-1,星期五,682.3255787545787
114-2,星期一,649.0121428571429
114-2,星期二,634.7433333333333
114-2,星期三,617.6864285714286
114-2,星期四,694.3709523809524
114-2,星期五,281.9185714285715
