年度學期,星期,功率_kW,課堂數,功率_每堂課_kW
113-1,星期一,992.4436593406596,83,11.95715252217662
113-1,星期二,812.1060402930401,124,6.549242260427743
113-1,星期三,727.1774688644688,82,8.868017912981326
113-1,星期四,525.0369926739927,94,5.585499922063752
113-1,星期五,707.2424212454213,57,12.40776177623546
113-2,星期一,583.4894725274726,98,5.953974209464006
113-2,星期二,701.2728534798536,117,5.9937850724773805
113-2,星期三,702.4779963369963,101,6.955227686504914
113-2,星期四,728.5083516483518,106,6.872720298569356
113-2,星期五,699.3881868131868,101,6.92463551300185
114-1,星期一,882.9065787545787,93,9.49361912639332
114-1,星期二,1199.203673992674,119,10.077341798257766
114-1,星期三,1100.0398168498168,90,12.222664631664632
114-1,星期四,1053.4940073260077,110,9.577218248418252
114-1,星期五,682.3255787545787,75,9.097674383394383
114-2,星期一,649.0121428571429,96,6.760543154761905
114-2,星期二,634.7433333333333,137,4.63316301703163
114-2,星期三,617.6864285714286,93,6.64178955453149
114-2,星期四,694.3709523809524,124,5.599765745007681
114-2,星期五,281.9185714285715,73,3.861898238747555
