年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-1,星期一,7,07:00~08:00,77.68733333333333,71.45923076923077,6.2281025641025565
113-1,星期一,8,08:00~09:00,154.82466666666667,119.12785714285717,35.696809523809506
113-1,星期一,9,09:00~10:00,224.5733333333333,123.5330769230769,101.04025641025639
113-1,星期一,10,10:00~11:00,257.4800000000001,130.5069230769231,126.97307692307697
113-1,星期一,11,11:00~12:00,267.6526666666667,135.58642857142857,132.0662380952381
113-1,星期一,12,12:00~13:00,267.374,152.35692307692307,115.01707692307696
113-1,星期一,13,13:00~14:00,262.2866666666667,151.72642857142858,110.5602380952381
113-1,星期一,14,14:00~15:00,264.73133333333334,161.36285714285714,103.3684761904762
113-1,星期一,15,15:00~16:00,292.6933333333333,162.0661538461538,130.62717948717952
113-1,星期一,16,16:00~17:00,284.722,147.6276923076923,137.09430769230767
113-1,星期一,17,17:00~18:00,271.398,145.70076923076925,125.69723076923077
113-1,星期二,7,07:00~08:00,77.43533333333333,71.45923076923077,5.976102564102561
113-1,星期二,8,08:00~09:00,133.19642857142858,119.12785714285717,14.068571428571417
113-1,星期二,9,09:00~10:00,214.4914285714285,123.5330769230769,90.95835164835158
113-1,星期二,10,10:00~11:00,226.80133333333333,130.5069230769231,96.29441025641023
113-1,星期二,11,11:00~12:00,262.8778571428571,135.58642857142857,127.29142857142855
113-1,星期二,12,12:00~13:00,253.24866666666665,152.35692307692307,100.89174358974358
113-1,星期二,13,13:00~14:00,237.60000000000005,151.72642857142858,85.87357142857147
113-1,星期二,14,14:00~15:00,265.2213333333333,161.36285714285714,103.85847619047615
113-1,星期二,15,15:00~16:00,264.6213333333333,162.0661538461538,102.55517948717952
113-1,星期二,16,16:00~17:00,237.94199999999995,147.6276923076923,90.31430769230764
113-1,星期二,17,17:00~18:00,223.288,145.70076923076925,77.58723076923076
113-1,星期三,7,07:00~08:00,73.32333333333332,71.45923076923077,1.8641025641025522
113-1,星期三,8,08:00~09:00,135.45,119.12785714285717,16.322142857142822
113-1,星期三,9,09:00~10:00,182.42933333333323,123.5330769230769,58.89625641025633
113-1,星期三,10,10:00~11:00,228.34066666666664,130.5069230769231,97.83374358974353
113-1,星期三,11,11:00~12:00,240.84466666666663,135.58642857142857,105.25823809523806
113-1,星期三,12,12:00~13:00,247.0192857142857,152.35692307692307,94.66236263736263
113-1,星期三,13,13:00~14:00,231.9328571428572,151.72642857142858,80.2064285714286
113-1,星期三,14,14:00~15:00,239.65571428571428,161.36285714285714,78.29285714285714
113-1,星期三,15,15:00~16:00,258.25357142857143,162.0661538461538,96.18741758241762
113-1,星期三,16,16:00~17:00,247.14571428571432,147.6276923076923,99.518021978022
113-1,星期三,17,17:00~18:00,222.4686666666667,145.70076923076925,76.76789743589745
113-1,星期四,7,07:00~08:00,64.088,71.45923076923077,-7.3712307692307775
113-1,星期四,8,08:00~09:00,121.02933333333335,119.12785714285717,1.9014761904761883
113-1,星期四,9,09:00~10:00,166.56599999999997,123.5330769230769,43.03292307692307
113-1,星期四,10,10:00~11:00,204.78066666666663,130.5069230769231,74.27374358974353
113-1,星期四,11,11:00~12:00,218.3546666666667,135.58642857142857,82.76823809523813
113-1,星期四,12,12:00~13:00,219.48333333333335,152.35692307692307,67.12641025641028
113-1,星期四,13,13:00~14:00,206.75733333333332,151.72642857142858,55.030904761904736
113-1,星期四,14,14:00~15:00,219.14066666666668,161.36285714285714,57.77780952380954
113-1,星期四,15,15:00~16:00,227.16666666666669,162.0661538461538,65.10051282051288
113-1,星期四,16,16:00~17:00,225.6526666666667,147.6276923076923,78.02497435897439
113-1,星期四,17,17:00~18:00,215.91266666666664,145.70076923076925,70.21189743589738
113-1,星期五,7,07:00~08:00,73.31666666666666,71.45923076923077,1.8574358974358915
113-1,星期五,8,08:00~09:00,139.82428571428574,119.12785714285717,20.69642857142857
113-1,星期五,9,09:00~10:00,189.6371428571429,123.5330769230769,66.10406593406599
113-1,星期五,10,10:00~11:00,236.56466666666665,130.5069230769231,106.05774358974355
113-1,星期五,11,11:00~12:00,246.8153333333333,135.58642857142857,111.22890476190474
113-1,星期五,12,12:00~13:00,247.294,152.35692307692307,94.93707692307694
113-1,星期五,13,13:00~14:00,213.43400000000003,151.72642857142858,61.70757142857144
113-1,星期五,14,14:00~15:00,254.98466666666664,161.36285714285714,93.6218095238095
113-1,星期五,15,15:00~16:00,251.076,162.0661538461538,89.00984615384618
113-1,星期五,16,16:00~17:00,211.50666666666663,147.6276923076923,63.87897435897432
113-1,星期五,17,17:00~18:00,191.426,145.70076923076925,45.725230769230734
113-2,星期一,7,07:00~08:00,45.90571428571429,48.1646153846154,-2.258901098901113
113-2,星期一,8,08:00~09:00,110.60785714285714,93.27642857142855,17.33142857142859
113-2,星期一,9,09:00~10:00,147.42333333333335,85.635,61.78833333333334
113-2,星期一,10,10:00~11:00,163.18285714285713,101.06714285714284,62.11571428571429
113-2,星期一,11,11:00~12:00,169.2785714285714,94.46846153846153,74.81010989010989
113-2,星期一,12,12:00~13:00,171.04571428571427,104.8153846153846,66.23032967032967
113-2,星期一,13,13:00~14:00,163.64428571428576,114.76928571428572,48.87500000000004
113-2,星期一,14,14:00~15:00,197.0942857142857,115.97357142857145,81.12071428571424
113-2,星期一,15,15:00~16:00,208.4386666666667,111.04153846153848,97.39712820512823
113-2,星期一,16,16:00~17:00,192.38642857142855,118.5657142857143,73.82071428571426
113-2,星期一,17,17:00~18:00,191.53266666666664,104.26285714285711,87.26980952380953
113-2,星期二,7,07:00~08:00,44.97714285714286,48.1646153846154,-3.1874725274725435
113-2,星期二,8,08:00~09:00,115.79714285714286,93.27642857142855,22.520714285714305
113-2,星期二,9,09:00~10:00,160.96357142857144,85.635,75.32857142857144
113-2,星期二,10,10:00~11:00,179.60714285714286,101.06714285714284,78.54000000000002
113-2,星期二,11,11:00~12:00,196.54466666666667,94.46846153846153,102.07620512820515
113-2,星期二,12,12:00~13:00,191.92142857142855,104.8153846153846,87.10604395604395
113-2,星期二,13,13:00~14:00,178.18785714285715,114.76928571428572,63.41857142857144
113-2,星期二,14,14:00~15:00,202.65357142857147,115.97357142857145,86.68000000000002
113-2,星期二,15,15:00~16:00,212.9214285714286,111.04153846153848,101.87989010989013
113-2,星期二,16,16:00~17:00,202.28857142857143,118.5657142857143,83.72285714285714
113-2,星期二,17,17:00~18:00,183.26785714285717,104.26285714285711,79.00500000000005
113-2,星期三,7,07:00~08:00,48.202,48.1646153846154,0.03738461538459603
113-2,星期三,8,08:00~09:00,110.82999999999998,93.27642857142855,17.55357142857143
113-2,星期三,9,09:00~10:00,171.46266666666665,85.635,85.82766666666664
113-2,星期三,10,10:00~11:00,181.86214285714289,101.06714285714284,80.79500000000004
113-2,星期三,11,11:00~12:00,191.3385714285714,94.46846153846153,96.87010989010989
113-2,星期三,12,12:00~13:00,196.94142857142856,104.8153846153846,92.12604395604396
113-2,星期三,13,13:00~14:00,173.95214285714283,114.76928571428572,59.18285714285712
113-2,星期三,14,14:00~15:00,197.04857142857145,115.97357142857145,81.075
113-2,星期三,15,15:00~16:00,212.385,111.04153846153848,101.34346153846151
113-2,星期三,16,16:00~17:00,206.27,118.5657142857143,87.70428571428572
113-2,星期三,17,17:00~18:00,180.09642857142856,104.26285714285711,75.83357142857145
113-2,星期四,7,07:00~08:00,45.5092857142857,48.1646153846154,-2.6553296703296994
113-2,星期四,8,08:00~09:00,122.96071428571427,93.27642857142855,29.68428571428572
113-2,星期四,9,09:00~10:00,156.86142857142855,85.635,71.22642857142854
113-2,星期四,10,10:00~11:00,189.12076923076924,101.06714285714284,88.0536263736264
113-2,星期四,11,11:00~12:00,205.3871428571429,94.46846153846153,110.91868131868137
113-2,星期四,12,12:00~13:00,201.0030769230769,104.8153846153846,96.18769230769229
113-2,星期四,13,13:00~14:00,176.6046153846154,114.76928571428572,61.8353296703297
113-2,星期四,14,14:00~15:00,211.5471428571429,115.97357142857145,95.57357142857144
113-2,星期四,15,15:00~16:00,199.6021428571429,111.04153846153848,88.56060439560441
113-2,星期四,16,16:00~17:00,205.03384615384616,118.5657142857143,86.46813186813186
113-2,星期四,17,17:00~18:00,168.74785714285713,104.26285714285711,64.48500000000001
113-2,星期五,7,07:00~08:00,47.48428571428571,48.1646153846154,-0.6803296703296908
113-2,星期五,8,08:00~09:00,107.75071428571428,93.27642857142855,14.474285714285728
113-2,星期五,9,09:00~10:00,165.93142857142857,85.635,80.29642857142856
113-2,星期五,10,10:00~11:00,197.5042857142857,101.06714285714284,96.43714285714285
113-2,星期五,11,11:00~12:00,200.7492857142857,94.46846153846153,106.28082417582416
113-2,星期五,12,12:00~13:00,205.74,104.8153846153846,100.92461538461541
113-2,星期五,13,13:00~14:00,181.40428571428572,114.76928571428572,66.635
113-2,星期五,14,14:00~15:00,203.65785714285715,115.97357142857145,87.6842857142857
113-2,星期五,15,15:00~16:00,197.7607142857143,111.04153846153848,86.71917582417582
113-2,星期五,16,16:00~17:00,178.50214285714287,118.5657142857143,59.93642857142858
113-2,星期五,17,17:00~18:00,154.31214285714287,104.26285714285711,50.04928571428576
114-1,星期一,7,07:00~08:00,102.83642857142856,76.255,26.58142857142856
114-1,星期一,8,08:00~09:00,140.26666666666668,109.86928571428572,30.397380952380956
114-1,星期一,9,09:00~10:00,188.966,125.47714285714282,63.488857142857185
114-1,星期一,10,10:00~11:00,222.27866666666668,123.54142857142855,98.73723809523813
114-1,星期一,11,11:00~12:00,230.64266666666663,118.91384615384612,111.7288205128205
114-1,星期一,12,12:00~13:00,222.79,123.69769230769232,99.09230769230767
114-1,星期一,13,13:00~14:00,221.92333333333332,118.71384615384616,103.20948717948716
114-1,星期一,14,14:00~15:00,235.926,130.81384615384616,105.11215384615383
114-1,星期一,15,15:00~16:00,249.64,116.875,132.765
114-1,星期一,16,16:00~17:00,251.372,112.99666666666668,138.37533333333334
114-1,星期一,17,17:00~18:00,231.53266666666664,107.0185714285714,124.51409523809524
114-1,星期二,7,07:00~08:00,96.49200000000002,76.255,20.237000000000023
114-1,星期二,8,08:00~09:00,150.44466666666668,109.86928571428572,40.575380952380954
114-1,星期二,9,09:00~10:00,211.48642857142863,125.47714285714282,86.00928571428581
114-1,星期二,10,10:00~11:00,270.53066666666666,123.54142857142855,146.9892380952381
114-1,星期二,11,11:00~12:00,283.72,118.91384615384612,164.8061538461539
114-1,星期二,12,12:00~13:00,281.8293333333333,123.69769230769232,158.131641025641
114-1,星期二,13,13:00~14:00,247.12933333333336,118.71384615384616,128.4154871794872
114-1,星期二,14,14:00~15:00,272.844,130.81384615384616,142.03015384615384
114-1,星期二,15,15:00~16:00,287.7886666666667,116.875,170.9136666666667
114-1,星期二,16,16:00~17:00,274.3293333333333,112.99666666666668,161.33266666666663
114-1,星期二,17,17:00~18:00,257.3413333333333,107.0185714285714,150.32276190476188
114-1,星期三,7,07:00~08:00,85.02571428571427,76.255,8.770714285714277
114-1,星期三,8,08:00~09:00,142.82857142857145,109.86928571428572,32.95928571428573
114-1,星期三,9,09:00~10:00,219.752,125.47714285714282,94.27485714285719
114-1,星期三,10,10:00~11:00,263.48733333333337,123.54142857142855,139.9459047619048
114-1,星期三,11,11:00~12:00,275.48266666666666,118.91384615384612,156.56882051282054
114-1,星期三,12,12:00~13:00,266.63,123.69769230769232,142.9323076923077
114-1,星期三,13,13:00~14:00,229.974,118.71384615384616,111.26015384615383
114-1,星期三,14,14:00~15:00,249.13066666666663,130.81384615384616,118.31682051282047
114-1,星期三,15,15:00~16:00,269.34,116.875,152.46499999999997
114-1,星期三,16,16:00~17:00,264.31333333333333,112.99666666666668,151.31666666666666
114-1,星期三,17,17:00~18:00,246.55333333333337,107.0185714285714,139.53476190476198
114-1,星期四,7,07:00~08:00,86.62428571428573,76.255,10.369285714285738
114-1,星期四,8,08:00~09:00,138.4914285714286,109.86928571428572,28.622142857142876
114-1,星期四,9,09:00~10:00,205.52466666666663,125.47714285714282,80.04752380952381
114-1,星期四,10,10:00~11:00,256.8606666666667,123.54142857142855,133.31923809523815
114-1,星期四,11,11:00~12:00,263.0606666666667,118.91384615384612,144.14682051282057
114-1,星期四,12,12:00~13:00,270.49,123.69769230769232,146.7923076923077
114-1,星期四,13,13:00~14:00,226.05266666666677,118.71384615384616,107.3388205128206
114-1,星期四,14,14:00~15:00,241.446,130.81384615384616,110.63215384615384
114-1,星期四,15,15:00~16:00,269.1873333333334,116.875,152.3123333333334
114-1,星期四,16,16:00~17:00,263.27933333333334,112.99666666666668,150.28266666666667
114-1,星期四,17,17:00~18:00,226.83533333333335,107.0185714285714,119.81676190476195
114-1,星期五,7,07:00~08:00,78.2076923076923,76.255,1.9526923076923026
114-1,星期五,8,08:00~09:00,124.28714285714284,109.86928571428572,14.417857142857116
114-1,星期五,9,09:00~10:00,168.0878571428571,125.47714285714282,42.61071428571428
114-1,星期五,10,10:00~11:00,198.87,123.54142857142855,75.32857142857145
114-1,星期五,11,11:00~12:00,207.85733333333332,118.91384615384612,88.94348717948719
114-1,星期五,12,12:00~13:00,217.13666666666668,123.69769230769232,93.43897435897436
114-1,星期五,13,13:00~14:00,194.83333333333331,118.71384615384616,76.11948717948715
114-1,星期五,14,14:00~15:00,230.43066666666667,130.81384615384616,99.61682051282051
114-1,星期五,15,15:00~16:00,220.8946666666666,116.875,104.01966666666661
114-1,星期五,16,16:00~17:00,200.8266666666667,112.99666666666668,87.83000000000003
114-1,星期五,17,17:00~18:00,164.0246666666667,107.0185714285714,57.006095238095284
114-2,星期一,7,07:00~08:00,44.89571428571429,42.76,2.1357142857142932
114-2,星期一,8,08:00~09:00,94.76428571428572,92.93571428571428,1.8285714285714363
114-2,星期一,9,09:00~10:00,154.73666666666668,95.98428571428572,58.75238095238096
114-2,星期一,10,10:00~11:00,166.48666666666668,101.73142857142857,64.75523809523811
114-2,星期一,11,11:00~12:00,175.18166666666664,89.38857142857144,85.7930952380952
114-2,星期一,12,12:00~13:00,181.02666666666667,93.08833333333332,87.93833333333335
114-2,星期一,13,13:00~14:00,138.10285714285715,85.04166666666667,53.061190476190475
114-2,星期一,14,14:00~15:00,188.465,95.50666666666666,92.95833333333334
114-2,星期一,15,15:00~16:00,195.71166666666667,94.70166666666668,101.00999999999999
114-2,星期一,16,16:00~17:00,183.89666666666665,80.98166666666667,102.91499999999998
114-2,星期一,17,17:00~18:00,178.38166666666666,86.74000000000001,91.64166666666665
114-2,星期二,7,07:00~08:00,46.60166666666667,42.76,3.8416666666666686
114-2,星期二,8,08:00~09:00,114.81666666666668,92.93571428571428,21.880952380952394
114-2,星期二,9,09:00~10:00,136.67,95.98428571428572,40.68571428571427
114-2,星期二,10,10:00~11:00,170.48666666666665,101.73142857142857,68.75523809523808
114-2,星期二,11,11:00~12:00,176.46833333333333,89.38857142857144,87.0797619047619
114-2,星期二,12,12:00~13:00,172.99666666666667,93.08833333333332,79.90833333333335
114-2,星期二,13,13:00~14:00,161.12166666666667,85.04166666666667,76.08
114-2,星期二,14,14:00~15:00,174.8983333333333,95.50666666666666,79.39166666666665
114-2,星期二,15,15:00~16:00,178.26333333333332,94.70166666666668,83.56166666666664
114-2,星期二,16,16:00~17:00,178.3816666666667,80.98166666666667,97.40000000000002
114-2,星期二,17,17:00~18:00,156.86,86.74000000000001,70.12
114-2,星期三,7,07:00~08:00,48.77166666666667,42.76,6.01166666666667
114-2,星期三,8,08:00~09:00,111.47833333333334,92.93571428571428,18.542619047619056
114-2,星期三,9,09:00~10:00,146.40333333333334,95.98428571428572,50.41904761904762
114-2,星期三,10,10:00~11:00,165.32,101.73142857142857,63.58857142857143
114-2,星期三,11,11:00~12:00,167.13500000000002,89.38857142857144,77.74642857142858
114-2,星期三,12,12:00~13:00,170.4316666666667,93.08833333333332,77.34333333333338
114-2,星期三,13,13:00~14:00,151.845,85.04166666666667,66.80333333333333
114-2,星期三,14,14:00~15:00,173.42,95.50666666666666,77.91333333333333
114-2,星期三,15,15:00~16:00,188.89142857142855,94.70166666666668,94.18976190476187
114-2,星期三,16,16:00~17:00,172.12166666666667,80.98166666666667,91.14
