學年度學期,星期,08:00~09:00,09:00~10:00,10:00~11:00,11:00~12:00,12:00~13:00,13:00~14:00,14:00~15:00,15:00~16:00,16:00~17:00
1131,星期一,2,12,13,13,2,11,16,16,9
1131,星期二,3,9,19,19,7,14,19,16,11
1131,星期三,1,8,17,17,5,12,16,12,8
1131,星期四,3,11,18,18,2,13,18,14,9
1131,星期五,2,12,18,18,1,6,8,5,2
1132,星期一,4,10,11,11,2,7,17,17,11
1132,星期二,1,11,18,19,8,15,20,19,13
1132,星期三,3,11,17,18,1,13,17,13,9
1132,星期四,2,9,19,19,2,14,17,17,12
1132,星期五,3,11,16,16,3,8,11,8,6
1141,星期一,1,10,13,14,4,9,15,16,11
1141,星期二,1,10,18,19,8,16,19,14,9
1141,星期三,0,9,19,20,6,15,16,14,8
1141,星期四,3,12,19,19,1,10,17,15,12
1141,星期五,1,11,17,17,1,6,13,11,8
1142,星期一,4,9,12,13,3,8,17,18,12
1142,星期二,0,10,17,19,7,12,13,15,11
1142,星期三,4,10,17,19,5,15,17,17,10
1142,星期四,2,7,16,16,1,12,18,20,16
1142,星期五,4,15,16,16,1,9,13,11,8
