年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期一,0,00:00~01:00,13.452666666666667
113-1,星期一,1,01:00~02:00,14.067142857142855
113-1,星期一,2,02:00~03:00,13.160714285714286
113-1,星期一,3,03:00~04:00,13.12733333333333
113-1,星期一,4,04:00~05:00,12.500666666666666
113-1,星期一,5,05:00~06:00,12.860000000000001
113-1,星期一,6,06:00~07:00,12.331428571428571
113-1,星期一,7,07:00~08:00,12.215714285714284
113-1,星期一,8,08:00~09:00,52.22133333333333
113-1,星期一,9,09:00~10:00,92.83500000000001
113-1,星期一,10,10:00~11:00,115.02400000000003
113-1,星期一,11,11:00~12:00,115.58666666666669
113-1,星期一,12,12:00~13:00,112.77533333333331
113-1,星期一,13,13:00~14:00,117.98066666666665
113-1,星期一,14,14:00~15:00,124.63933333333334
113-1,星期一,15,15:00~16:00,120.88133333333333
113-1,星期一,16,16:00~17:00,112.36799999999998
113-1,星期一,17,17:00~18:00,111.85285714285715
113-1,星期一,18,18:00~19:00,76.88399999999999
113-1,星期一,19,19:00~20:00,65.03533333333333
113-1,星期一,20,20:00~21:00,51.700714285714284
113-1,星期一,21,21:00~22:00,47.48214285714285
113-1,星期一,22,22:00~23:00,11.795714285714284
113-1,星期一,23,23:00~24:00,11.975333333333335
113-1,星期二,0,00:00~01:00,12.155000000000001
113-1,星期二,1,01:00~02:00,14.138666666666666
113-1,星期二,2,02:00~03:00,14.021333333333335
113-1,星期二,3,03:00~04:00,13.840000000000002
113-1,星期二,4,04:00~05:00,14.105333333333332
113-1,星期二,5,05:00~06:00,14.094285714285716
113-1,星期二,6,06:00~07:00,12.232142857142858
113-1,星期二,7,07:00~08:00,12.74642857142857
113-1,星期二,8,08:00~09:00,53.585
113-1,星期二,9,09:00~10:00,82.58600000000001
113-1,星期二,10,10:00~11:00,101.794
113-1,星期二,11,11:00~12:00,118.33466666666666
113-1,星期二,12,12:00~13:00,112.17266666666664
113-1,星期二,13,13:00~14:00,106.64266666666667
113-1,星期二,14,14:00~15:00,115.94666666666669
113-1,星期二,15,15:00~16:00,116.3993333333333
113-1,星期二,16,16:00~17:00,110.00666666666667
113-1,星期二,17,17:00~18:00,98.57933333333334
113-1,星期二,18,18:00~19:00,68.93857142857145
113-1,星期二,19,19:00~20:00,70.78285714285714
113-1,星期二,20,20:00~21:00,69.5257142857143
113-1,星期二,21,21:00~22:00,65.10714285714286
113-1,星期二,22,22:00~23:00,12.075714285714286
113-1,星期二,23,23:00~24:00,12.231333333333334
113-1,星期三,0,00:00~01:00,12.363333333333333
113-1,星期三,1,01:00~02:00,14.147857142857143
113-1,星期三,2,02:00~03:00,13.606666666666666
113-1,星期三,3,03:00~04:00,13.171428571428573
113-1,星期三,4,04:00~05:00,13.210714285714287
113-1,星期三,5,05:00~06:00,13.698666666666664
113-1,星期三,6,06:00~07:00,12.603999999999997
113-1,星期三,7,07:00~08:00,12.314666666666666
113-1,星期三,8,08:00~09:00,47.181999999999995
113-1,星期三,9,09:00~10:00,73.29733333333334
113-1,星期三,10,10:00~11:00,106.78933333333336
113-1,星期三,11,11:00~12:00,115.56466666666667
113-1,星期三,12,12:00~13:00,122.66071428571432
113-1,星期三,13,13:00~14:00,109.53142857142858
113-1,星期三,14,14:00~15:00,110.42500000000003
113-1,星期三,15,15:00~16:00,112.96357142857143
113-1,星期三,16,16:00~17:00,110.93642857142855
113-1,星期三,17,17:00~18:00,93.99
113-1,星期三,18,18:00~19:00,74.49285714285715
113-1,星期三,19,19:00~20:00,94.69066666666664
113-1,星期三,20,20:00~21:00,83.47599999999997
113-1,星期三,21,21:00~22:00,72.33800000000001
113-1,星期三,22,22:00~23:00,12.295333333333334
113-1,星期三,23,23:00~24:00,12.129999999999999
113-1,星期四,0,00:00~01:00,12.934666666666667
113-1,星期四,1,01:00~02:00,14.500666666666666
113-1,星期四,2,02:00~03:00,14.095333333333334
113-1,星期四,3,03:00~04:00,13.719285714285716
113-1,星期四,4,04:00~05:00,13.055000000000003
113-1,星期四,5,05:00~06:00,13.043571428571427
113-1,星期四,6,06:00~07:00,12.946428571428571
113-1,星期四,7,07:00~08:00,12.110000000000001
113-1,星期四,8,08:00~09:00,39.40533333333333
113-1,星期四,9,09:00~10:00,75.28266666666667
113-1,星期四,10,10:00~11:00,93.65
113-1,星期四,11,11:00~12:00,93.98399999999998
113-1,星期四,12,12:00~13:00,95.15066666666667
113-1,星期四,13,13:00~14:00,88.19466666666668
113-1,星期四,14,14:00~15:00,96.05399999999996
113-1,星期四,15,15:00~16:00,98.32733333333334
113-1,星期四,16,16:00~17:00,88.506
113-1,星期四,17,17:00~18:00,75.914
113-1,星期四,18,18:00~19:00,74.35266666666666
113-1,星期四,19,19:00~20:00,78.08066666666667
113-1,星期四,20,20:00~21:00,81.13000000000001
113-1,星期四,21,21:00~22:00,73.79642857142858
113-1,星期四,22,22:00~23:00,12.82230769230769
113-1,星期四,23,23:00~24:00,12.812857142857142
113-1,星期五,0,00:00~01:00,13.066153846153847
113-1,星期五,1,01:00~02:00,14.30714285714286
113-1,星期五,2,02:00~03:00,14.237142857142857
113-1,星期五,3,03:00~04:00,13.97733333333333
113-1,星期五,4,04:00~05:00,13.146153846153847
113-1,星期五,5,05:00~06:00,13.190714285714288
113-1,星期五,6,06:00~07:00,12.407333333333334
113-1,星期五,7,07:00~08:00,12.194285714285712
113-1,星期五,8,08:00~09:00,52.92071428571428
113-1,星期五,9,09:00~10:00,70.42928571428571
113-1,星期五,10,10:00~11:00,92.97066666666666
113-1,星期五,11,11:00~12:00,100.61866666666668
113-1,星期五,12,12:00~13:00,97.74800000000002
113-1,星期五,13,13:00~14:00,80.67266666666666
113-1,星期五,14,14:00~15:00,83.658
113-1,星期五,15,15:00~16:00,80.98466666666667
113-1,星期五,16,16:00~17:00,63.10214285714285
113-1,星期五,17,17:00~18:00,57.93333333333333
113-1,星期五,18,18:00~19:00,46.17266666666665
113-1,星期五,19,19:00~20:00,31.62
113-1,星期五,20,20:00~21:00,24.106428571428577
113-1,星期五,21,21:00~22:00,22.673571428571428
113-1,星期五,22,22:00~23:00,11.951999999999998
113-1,星期五,23,23:00~24:00,12.29
113-1,星期六,0,00:00~01:00,12.407857142857145
113-1,星期六,1,01:00~02:00,13.65857142857143
113-1,星期六,2,02:00~03:00,13.446923076923078
113-1,星期六,3,03:00~04:00,14.469999999999999
113-1,星期六,4,04:00~05:00,13.946428571428573
113-1,星期六,5,05:00~06:00,13.423076923076923
113-1,星期六,6,06:00~07:00,12.904285714285715
113-1,星期六,7,07:00~08:00,12.582307692307692
113-1,星期六,8,08:00~09:00,32.60714285714286
113-1,星期六,9,09:00~10:00,53.08357142857143
113-1,星期六,10,10:00~11:00,63.46928571428571
113-1,星期六,11,11:00~12:00,63.13642857142857
113-1,星期六,12,12:00~13:00,73.14928571428571
113-1,星期六,13,13:00~14:00,40.49769230769231
113-1,星期六,14,14:00~15:00,35.78846153846154
113-1,星期六,15,15:00~16:00,35.331538461538464
113-1,星期六,16,16:00~17:00,30.200000000000006
113-1,星期六,17,17:00~18:00,21.494285714285716
113-1,星期六,18,18:00~19:00,19.28
113-1,星期六,19,19:00~20:00,11.44846153846154
113-1,星期六,20,20:00~21:00,12.013076923076921
113-1,星期六,21,21:00~22:00,11.899230769230769
113-1,星期六,22,22:00~23:00,12.397692307692308
113-1,星期六,23,23:00~24:00,13.246923076923078
113-1,星期日,0,00:00~01:00,12.705833333333336
113-1,星期日,1,01:00~02:00,14.544615384615385
113-1,星期日,2,02:00~03:00,14.339230769230767
113-1,星期日,3,03:00~04:00,14.77076923076923
113-1,星期日,4,04:00~05:00,13.156666666666665
113-1,星期日,5,05:00~06:00,13.515833333333335
113-1,星期日,6,06:00~07:00,13.292307692307691
113-1,星期日,7,07:00~08:00,18.14153846153846
113-1,星期日,8,08:00~09:00,32.69692307692308
113-1,星期日,9,09:00~10:00,44.232142857142854
113-1,星期日,10,10:00~11:00,43.51615384615384
113-1,星期日,11,11:00~12:00,52.52428571428571
113-1,星期日,12,12:00~13:00,45.20923076923077
113-1,星期日,13,13:00~14:00,28.78538461538462
113-1,星期日,14,14:00~15:00,20.043846153846157
113-1,星期日,15,15:00~16:00,18.76076923076923
113-1,星期日,16,16:00~17:00,13.304166666666667
113-1,星期日,17,17:00~18:00,16.529230769230768
113-1,星期日,18,18:00~19:00,11.289230769230768
113-1,星期日,19,19:00~20:00,11.799285714285714
113-1,星期日,20,20:00~21:00,11.930714285714288
113-1,星期日,21,21:00~22:00,11.990714285714285
113-1,星期日,22,22:00~23:00,13.34153846153846
113-1,星期日,23,23:00~24:00,12.358571428571427
113-2,星期一,0,00:00~01:00,14.018571428571429
113-2,星期一,1,01:00~02:00,13.482857142857144
113-2,星期一,2,02:00~03:00,12.810714285714285
113-2,星期一,3,03:00~04:00,12.48
113-2,星期一,4,04:00~05:00,12.266428571428571
113-2,星期一,5,05:00~06:00,12.775714285714287
113-2,星期一,6,06:00~07:00,11.61
113-2,星期一,7,07:00~08:00,11.871428571428572
113-2,星期一,8,08:00~09:00,32.129230769230766
113-2,星期一,9,09:00~10:00,53.56785714285714
113-2,星期一,10,10:00~11:00,64.24
113-2,星期一,11,11:00~12:00,65.10357142857143
113-2,星期一,12,12:00~13:00,65.86785714285715
113-2,星期一,13,13:00~14:00,66.97999999999999
113-2,星期一,14,14:00~15:00,84.46266666666665
113-2,星期一,15,15:00~16:00,89.95000000000002
113-2,星期一,16,16:00~17:00,88.34066666666668
113-2,星期一,17,17:00~18:00,82.20266666666666
113-2,星期一,18,18:00~19:00,38.29307692307692
113-2,星期一,19,19:00~20:00,40.534285714285716
113-2,星期一,20,20:00~21:00,35.01714285714286
113-2,星期一,21,21:00~22:00,32.42071428571428
113-2,星期一,22,22:00~23:00,16.504285714285718
113-2,星期一,23,23:00~24:00,13.66
113-2,星期二,0,00:00~01:00,13.234615384615385
113-2,星期二,1,01:00~02:00,13.27
113-2,星期二,2,02:00~03:00,14.157857142857141
113-2,星期二,3,03:00~04:00,13.50076923076923
113-2,星期二,4,04:00~05:00,13.279285714285715
113-2,星期二,5,05:00~06:00,14.160714285714288
113-2,星期二,6,06:00~07:00,11.271538461538464
113-2,星期二,7,07:00~08:00,12.554285714285713
113-2,星期二,8,08:00~09:00,35.6
113-2,星期二,9,09:00~10:00,55.490714285714276
113-2,星期二,10,10:00~11:00,71.39133333333334
113-2,星期二,11,11:00~12:00,76.06142857142856
113-2,星期二,12,12:00~13:00,84.76666666666667
113-2,星期二,13,13:00~14:00,85.26928571428572
113-2,星期二,14,14:00~15:00,99.91466666666666
113-2,星期二,15,15:00~16:00,102.56866666666666
113-2,星期二,16,16:00~17:00,107.11399999999999
113-2,星期二,17,17:00~18:00,97.04733333333334
113-2,星期二,18,18:00~19:00,42.45923076923077
113-2,星期二,19,19:00~20:00,59.77928571428571
113-2,星期二,20,20:00~21:00,71.11333333333333
113-2,星期二,21,21:00~22:00,60.29600000000001
113-2,星期二,22,22:00~23:00,14.156153846153845
113-2,星期二,23,23:00~24:00,11.930714285714284
113-2,星期三,0,00:00~01:00,13.657857142857141
113-2,星期三,1,01:00~02:00,13.725714285714286
113-2,星期三,2,02:00~03:00,14.94714285714286
113-2,星期三,3,03:00~04:00,12.762857142857143
113-2,星期三,4,04:00~05:00,12.65357142857143
113-2,星期三,5,05:00~06:00,13.092142857142857
113-2,星期三,6,06:00~07:00,12.042142857142855
113-2,星期三,7,07:00~08:00,12.69357142857143
113-2,星期三,8,08:00~09:00,38.09733333333334
113-2,星期三,9,09:00~10:00,51.42133333333334
113-2,星期三,10,10:00~11:00,72.18
113-2,星期三,11,11:00~12:00,81.38285714285715
113-2,星期三,12,12:00~13:00,83.23933333333333
113-2,星期三,13,13:00~14:00,75.96133333333333
113-2,星期三,14,14:00~15:00,82.53428571428572
113-2,星期三,15,15:00~16:00,88.016
113-2,星期三,16,16:00~17:00,91.10533333333333
113-2,星期三,17,17:00~18:00,79.042
113-2,星期三,18,18:00~19:00,35.981428571428566
113-2,星期三,19,19:00~20:00,82.21866666666666
113-2,星期三,20,20:00~21:00,66.13642857142857
113-2,星期三,21,21:00~22:00,65.34333333333333
113-2,星期三,22,22:00~23:00,18.094
113-2,星期三,23,23:00~24:00,11.46642857142857
113-2,星期四,0,00:00~01:00,13.373571428571429
113-2,星期四,1,01:00~02:00,14.402142857142854
113-2,星期四,2,02:00~03:00,13.740714285714287
113-2,星期四,3,03:00~04:00,12.531428571428572
113-2,星期四,4,04:00~05:00,13.013571428571428
113-2,星期四,5,05:00~06:00,14.117857142857146
113-2,星期四,6,06:00~07:00,11.934666666666667
113-2,星期四,7,07:00~08:00,11.639333333333335
113-2,星期四,8,08:00~09:00,37.14333333333333
113-2,星期四,9,09:00~10:00,54.48666666666667
113-2,星期四,10,10:00~11:00,78.062
113-2,星期四,11,11:00~12:00,90.71133333333334
113-2,星期四,12,12:00~13:00,89.37733333333334
113-2,星期四,13,13:00~14:00,83.05133333333333
113-2,星期四,14,14:00~15:00,100.06800000000001
113-2,星期四,15,15:00~16:00,97.31799999999998
113-2,星期四,16,16:00~17:00,97.09333333333332
113-2,星期四,17,17:00~18:00,83.89066666666668
113-2,星期四,18,18:00~19:00,42.537857142857135
113-2,星期四,19,19:00~20:00,67.76571428571428
113-2,星期四,20,20:00~21:00,73.09933333333333
113-2,星期四,21,21:00~22:00,52.26285714285715
113-2,星期四,22,22:00~23:00,11.454615384615384
113-2,星期四,23,23:00~24:00,12.562142857142858
113-2,星期五,0,00:00~01:00,12.901538461538467
113-2,星期五,1,01:00~02:00,12.626923076923077
113-2,星期五,2,02:00~03:00,12.683076923076923
113-2,星期五,3,03:00~04:00,12.909230769230769
113-2,星期五,4,04:00~05:00,12.297692307692309
113-2,星期五,5,05:00~06:00,12.82
113-2,星期五,6,06:00~07:00,11.670714285714284
113-2,星期五,7,07:00~08:00,12.510714285714286
113-2,星期五,8,08:00~09:00,38.050000000000004
113-2,星期五,9,09:00~10:00,56.82071428571429
113-2,星期五,10,10:00~11:00,64.43928571428572
113-2,星期五,11,11:00~12:00,75.63214285714285
113-2,星期五,12,12:00~13:00,74.54642857142858
113-2,星期五,13,13:00~14:00,74.21000000000001
113-2,星期五,14,14:00~15:00,77.39642857142857
113-2,星期五,15,15:00~16:00,77.61571428571428
113-2,星期五,16,16:00~17:00,63.86846153846154
113-2,星期五,17,17:00~18:00,64.78071428571427
113-2,星期五,18,18:00~19:00,23.28384615384615
113-2,星期五,19,19:00~20:00,24.274615384615387
113-2,星期五,20,20:00~21:00,25.704285714285714
113-2,星期五,21,21:00~22:00,20.596153846153847
113-2,星期五,22,22:00~23:00,16.292307692307695
113-2,星期五,23,23:00~24:00,11.845833333333333
113-2,星期六,0,00:00~01:00,14.547692307692305
113-2,星期六,1,01:00~02:00,13.376153846153848
113-2,星期六,2,02:00~03:00,13.03
113-2,星期六,3,03:00~04:00,13.180000000000003
113-2,星期六,4,04:00~05:00,13.086153846153849
113-2,星期六,5,05:00~06:00,13.202307692307691
113-2,星期六,6,06:00~07:00,11.607692307692307
113-2,星期六,7,07:00~08:00,10.49923076923077
113-2,星期六,8,08:00~09:00,16.50769230769231
113-2,星期六,9,09:00~10:00,15.522307692307692
113-2,星期六,10,10:00~11:00,20.720000000000002
113-2,星期六,11,11:00~12:00,28.74692307692308
113-2,星期六,12,12:00~13:00,46.06285714285715
113-2,星期六,13,13:00~14:00,31.21461538461538
113-2,星期六,14,14:00~15:00,17.031666666666666
113-2,星期六,15,15:00~16:00,15.089166666666666
113-2,星期六,16,16:00~17:00,19.32076923076923
113-2,星期六,17,17:00~18:00,15.033846153846152
113-2,星期六,18,18:00~19:00,11.168461538461539
113-2,星期六,19,19:00~20:00,11.3
113-2,星期六,20,20:00~21:00,11.090000000000002
113-2,星期六,21,21:00~22:00,11.187692307692307
113-2,星期六,22,22:00~23:00,11.534999999999998
113-2,星期六,23,23:00~24:00,11.532499999999999
113-2,星期日,0,00:00~01:00,12.110000000000001
113-2,星期日,1,01:00~02:00,12.982857142857142
113-2,星期日,2,02:00~03:00,12.629230769230768
113-2,星期日,3,03:00~04:00,12.793571428571429
113-2,星期日,4,04:00~05:00,12.72642857142857
113-2,星期日,5,05:00~06:00,12.321538461538463
