年度學期,星期,功率_kW
113-1,星期一,537.04826007326
113-1,星期二,490.20426007326006
113-1,星期三,482.0870695970697
113-1,星期四,341.29126007326005
113-1,星期五,295.8414029304029
113-2,星期一,400.4258516483516
113-2,星期二,507.9607637362637
113-2,星期三,453.7218113553114
113-2,星期四,517.0953351648351
113-2,星期五,392.36317765567765
114-1,星期一,535.3756923076924
114-1,星期二,736.5476923076923
114-1,星期三,728.754358974359
114-1,星期四,786.5471208791209
114-1,星期五,506.1198827838828
114-2,星期一,374.25928571428574
114-2,星期二,413.64633333333336
114-2,星期三,382.32166666666666
114-2,星期四,406.71761904761905
114-2,星期五,352.92357142857145
