年度學期,星期,功率_kW,課堂數,功率_每堂課_kW
113-1,星期一,537.04826007326,94,5.71327936248149
113-1,星期二,490.20426007326006,117,4.189780000626154
113-1,星期三,482.0870695970697,96,5.021740308302809
113-1,星期四,341.29126007326005,106,3.2197288686156607
113-1,星期五,295.8414029304029,72,4.108908374033374
113-2,星期一,400.4258516483516,90,4.449176129426129
113-2,星期二,507.9607637362637,124,4.096457772066643
113-2,星期三,453.7218113553114,102,4.448253052503053
113-2,星期四,517.0953351648351,111,4.658516533016533
113-2,星期五,392.3631776556777,82,4.784916800678996
114-1,星期一,535.3756923076924,93,5.756727874276262
114-1,星期二,736.5476923076923,114,6.4609446693657215
114-1,星期三,728.754358974359,107,6.810788401629523
114-1,星期四,786.5471208791209,108,7.282843711843713
114-1,星期五,506.1198827838828,85,5.954351562163327
114-2,星期一,374.25928571428574,96,3.8985342261904763
114-2,星期二,413.64633333333336,104,3.97736858974359
114-2,星期三,382.32166666666666,114,3.3536988304093565
114-2,星期四,406.7176190476191,108,3.7659038800705473
114-2,星期五,352.92357142857145,93,3.7948771121351768
