年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-1,星期一,7,07:00~08:00,12.215714285714284,12.582307692307692,-0.3665934065934078
113-1,星期一,8,08:00~09:00,52.22133333333333,32.60714285714286,19.614190476190466
113-1,星期一,9,09:00~10:00,92.835,53.08357142857143,39.75142857142856
113-1,星期一,10,10:00~11:00,115.02400000000004,63.46928571428571,51.55471428571433
113-1,星期一,11,11:00~12:00,115.58666666666667,63.13642857142857,52.450238095238106
113-1,星期一,12,12:00~13:00,112.77533333333332,73.14928571428571,39.62604761904761
113-1,星期一,13,13:00~14:00,117.98066666666664,40.49769230769231,77.48297435897433
113-1,星期一,14,14:00~15:00,124.63933333333334,35.78846153846154,88.85087179487181
113-1,星期一,15,15:00~16:00,120.88133333333332,35.331538461538464,85.54979487179486
113-1,星期一,16,16:00~17:00,112.36799999999998,30.200000000000006,82.16799999999998
113-1,星期一,17,17:00~18:00,111.85285714285716,21.49428571428572,90.35857142857144
113-1,星期二,7,07:00~08:00,12.74642857142857,12.582307692307692,0.16412087912087792
113-1,星期二,8,08:00~09:00,53.585,32.60714285714286,20.97785714285714
113-1,星期二,9,09:00~10:00,82.58600000000001,53.08357142857143,29.50242857142858
113-1,星期二,10,10:00~11:00,101.794,63.46928571428571,38.324714285714286
113-1,星期二,11,11:00~12:00,118.33466666666666,63.13642857142857,55.198238095238096
113-1,星期二,12,12:00~13:00,112.17266666666664,73.14928571428571,39.02338095238093
113-1,星期二,13,13:00~14:00,106.64266666666668,40.49769230769231,66.14497435897437
113-1,星期二,14,14:00~15:00,115.94666666666669,35.78846153846154,80.15820512820514
113-1,星期二,15,15:00~16:00,116.3993333333333,35.331538461538464,81.06779487179483
113-1,星期二,16,16:00~17:00,110.00666666666667,30.200000000000006,79.80666666666667
113-1,星期二,17,17:00~18:00,98.57933333333334,21.49428571428572,77.08504761904761
113-1,星期三,7,07:00~08:00,12.314666666666666,12.582307692307692,-0.26764102564102643
113-1,星期三,8,08:00~09:00,47.182,32.60714285714286,14.574857142857141
113-1,星期三,9,09:00~10:00,73.29733333333334,53.08357142857143,20.21376190476191
113-1,星期三,10,10:00~11:00,106.78933333333336,63.46928571428571,43.32004761904765
113-1,星期三,11,11:00~12:00,115.56466666666668,63.13642857142857,52.428238095238115
113-1,星期三,12,12:00~13:00,122.66071428571432,73.14928571428571,49.51142857142861
113-1,星期三,13,13:00~14:00,109.53142857142858,40.49769230769231,69.03373626373627
113-1,星期三,14,14:00~15:00,110.42500000000004,35.78846153846154,74.63653846153849
113-1,星期三,15,15:00~16:00,112.96357142857144,35.331538461538464,77.63203296703298
113-1,星期三,16,16:00~17:00,110.93642857142856,30.200000000000006,80.73642857142856
113-1,星期三,17,17:00~18:00,93.99,21.49428571428572,72.49571428571427
113-1,星期四,7,07:00~08:00,12.11,12.582307692307692,-0.47230769230769276
113-1,星期四,8,08:00~09:00,39.40533333333333,32.60714285714286,6.79819047619047
113-1,星期四,9,09:00~10:00,75.28266666666667,53.08357142857143,22.19909523809524
113-1,星期四,10,10:00~11:00,93.65,63.46928571428571,30.180714285714295
113-1,星期四,11,11:00~12:00,93.98399999999998,63.13642857142857,30.847571428571413
113-1,星期四,12,12:00~13:00,95.15066666666668,73.14928571428571,22.00138095238097
113-1,星期四,13,13:00~14:00,88.19466666666668,40.49769230769231,47.696974358974366
113-1,星期四,14,14:00~15:00,96.05399999999996,35.78846153846154,60.26553846153842
113-1,星期四,15,15:00~16:00,98.32733333333334,35.331538461538464,62.99579487179488
113-1,星期四,16,16:00~17:00,88.506,30.200000000000006,58.306
113-1,星期四,17,17:00~18:00,75.914,21.49428571428572,54.41971428571428
113-1,星期五,7,07:00~08:00,12.194285714285712,12.582307692307692,-0.38802197802198
113-1,星期五,8,08:00~09:00,52.92071428571428,32.60714285714286,20.31357142857142
113-1,星期五,9,09:00~10:00,70.42928571428571,53.08357142857143,17.34571428571428
113-1,星期五,10,10:00~11:00,92.97066666666666,63.46928571428571,29.50138095238095
113-1,星期五,11,11:00~12:00,100.61866666666668,63.13642857142857,37.48223809523812
