學年度學期,星期,08:00~09:00,09:00~10:00,10:00~11:00,11:00~12:00,12:00~13:00,13:00~14:00,14:00~15:00,15:00~16:00,16:00~17:00
1131,星期一,11,16,23,23,6,11,24,21,21
1131,星期二,10,16,24,24,15,22,24,23,22
1131,星期三,9,18,24,24,6,15,19,20,17
1131,星期四,11,18,25,25,6,13,22,20,21
1131,星期五,8,19,24,24,0,9,24,19,16
1132,星期一,11,18,23,23,4,12,23,22,20
1132,星期二,14,18,22,22,14,22,24,22,21
1132,星期三,9,14,19,19,3,6,18,23,19
1132,星期四,13,17,25,25,4,18,24,25,25
1132,星期五,9,17,22,22,2,8,19,14,13
1141,星期一,11,14,21,21,7,12,23,19,19
1141,星期二,9,15,25,25,12,21,25,23,21
1141,星期三,7,16,24,24,7,13,21,23,19
1141,星期四,10,16,25,25,7,13,23,24,23
1141,星期五,9,18,22,22,0,6,23,21,20
1142,星期一,10,14,24,24,8,11,24,24,22
1142,星期二,12,18,24,24,13,19,22,23,22
1142,星期三,8,16,25,25,4,7,20,21,17
1142,星期四,11,17,26,26,4,16,22,23,23
1142,星期五,10,17,21,21,2,8,21,20,18
