年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期一,0,00:00~01:00,9.961428571428572
113-1,星期一,1,01:00~02:00,10.338571428571427
113-1,星期一,2,02:00~03:00,10.533571428571426
113-1,星期一,3,03:00~04:00,14.56642857142857
113-1,星期一,4,04:00~05:00,11.052142857142858
113-1,星期一,5,05:00~06:00,10.967142857142859
113-1,星期一,6,06:00~07:00,14.071428571428571
113-1,星期一,7,07:00~08:00,8.331428571428571
113-1,星期一,8,08:00~09:00,107.74733333333334
113-1,星期一,9,09:00~10:00,130.2771428571429
113-1,星期一,10,10:00~11:00,151.445
113-1,星期一,11,11:00~12:00,168.12230769230766
113-1,星期一,12,12:00~13:00,165.4338461538462
113-1,星期一,13,13:00~14:00,133.09428571428572
113-1,星期一,14,14:00~15:00,154.68615384615384
113-1,星期一,15,15:00~16:00,173.9813333333333
113-1,星期一,16,16:00~17:00,172.85733333333337
113-1,星期一,17,17:00~18:00,177.42666666666665
113-1,星期一,18,18:00~19:00,160.22266666666664
113-1,星期一,19,19:00~20:00,159.50266666666667
113-1,星期一,20,20:00~21:00,150.89733333333334
113-1,星期一,21,21:00~22:00,124.80933333333336
113-1,星期一,22,22:00~23:00,12.402142857142861
113-1,星期一,23,23:00~24:00,10.906
113-1,星期二,0,00:00~01:00,10.445000000000002
113-1,星期二,1,01:00~02:00,9.957857142857142
113-1,星期二,2,02:00~03:00,10.21
113-1,星期二,3,03:00~04:00,15.22
113-1,星期二,4,04:00~05:00,11.220769230769228
113-1,星期二,5,05:00~06:00,10.50076923076923
113-1,星期二,6,06:00~07:00,13.85
113-1,星期二,7,07:00~08:00,11.705384615384617
113-1,星期二,8,08:00~09:00,114.34999999999998
113-1,星期二,9,09:00~10:00,122.94071428571428
113-1,星期二,10,10:00~11:00,158.94916666666666
113-1,星期二,11,11:00~12:00,172.42818181818183
113-1,星期二,12,12:00~13:00,178.726
113-1,星期二,13,13:00~14:00,163.5275
113-1,星期二,14,14:00~15:00,159.69214285714287
113-1,星期二,15,15:00~16:00,160.37428571428572
113-1,星期二,16,16:00~17:00,166.77714285714288
113-1,星期二,17,17:00~18:00,159.8093333333333
113-1,星期二,18,18:00~19:00,135.90466666666666
113-1,星期二,19,19:00~20:00,107.69466666666668
113-1,星期二,20,20:00~21:00,93.79799999999999
113-1,星期二,21,21:00~22:00,79.7426666666667
113-1,星期二,22,22:00~23:00,11.760666666666669
113-1,星期二,23,23:00~24:00,10.522857142857145
113-1,星期三,0,00:00~01:00,10.112307692307692
113-1,星期三,1,01:00~02:00,10.107857142857142
113-1,星期三,2,02:00~03:00,10.426153846153845
113-1,星期三,3,03:00~04:00,14.00076923076923
113-1,星期三,4,04:00~05:00,11.799999999999999
113-1,星期三,5,05:00~06:00,10.592307692307694
113-1,星期三,6,06:00~07:00,13.539999999999997
113-1,星期三,7,07:00~08:00,9.344545454545454
113-1,星期三,8,08:00~09:00,91.42
113-1,星期三,9,09:00~10:00,110.46214285714288
113-1,星期三,10,10:00~11:00,160.12600000000003
113-1,星期三,11,11:00~12:00,140.42000000000002
113-1,星期三,12,12:00~13:00,163.80777777777777
113-1,星期三,13,13:00~14:00,125.76083333333332
113-1,星期三,14,14:00~15:00,134.07615384615386
113-1,星期三,15,15:00~16:00,142.97214285714284
113-1,星期三,16,16:00~17:00,152.40357142857144
113-1,星期三,17,17:00~18:00,151.45133333333334
113-1,星期三,18,18:00~19:00,133.64066666666665
113-1,星期三,19,19:00~20:00,145.47866666666667
113-1,星期三,20,20:00~21:00,131.27799999999996
113-1,星期三,21,21:00~22:00,117.86333333333333
113-1,星期三,22,22:00~23:00,14.315714285714284
113-1,星期三,23,23:00~24:00,10.200714285714286
113-1,星期四,0,00:00~01:00,10.414999999999997
113-1,星期四,1,01:00~02:00,10.825000000000001
113-1,星期四,2,02:00~03:00,10.737142857142858
113-1,星期四,3,03:00~04:00,14.952142857142858
113-1,星期四,4,04:00~05:00,11.834999999999997
113-1,星期四,5,05:00~06:00,11.508571428571429
113-1,星期四,6,06:00~07:00,14.122142857142856
113-1,星期四,7,07:00~08:00,8.92642857142857
113-1,星期四,8,08:00~09:00,68.11
113-1,星期四,9,09:00~10:00,98.17333333333333
113-1,星期四,10,10:00~11:00,117.94142857142856
113-1,星期四,11,11:00~12:00,143.92916666666665
113-1,星期四,12,12:00~13:00,129.33500000000004
113-1,星期四,13,13:00~14:00,124.42166666666667
113-1,星期四,14,14:00~15:00,144.83999999999997
113-1,星期四,15,15:00~16:00,121.05428571428573
113-1,星期四,16,16:00~17:00,117.9246666666667
113-1,星期四,17,17:00~18:00,121.90200000000002
113-1,星期四,18,18:00~19:00,116.97599999999998
113-1,星期四,19,19:00~20:00,111.42000000000002
