年度學期,星期,功率_kW
113-1,星期一,642.7164267399268
113-1,星期二,682.8368246753247
113-1,星期三,506.5203125763126
113-1,星期四,350.8012380952381
113-1,星期五,612.1348443223443
113-2,星期一,293.4312857142857
113-2,星期二,354.81561904761907
113-2,星期三,272.76111904761905
113-2,星期四,289.5769523809524
113-2,星期五,298.0264523809524
114-1,星期一,95.26446031746032
114-1,星期二,85.19041666666668
114-1,星期三,389.4186984126984
114-1,星期四,506.26478571428567
114-1,星期五,249.70186904761906
114-2,星期一,333.55095238095237
114-2,星期二,234.26516666666663
114-2,星期三,172.86583333333334
114-2,星期四,384.07966666666664
114-2,星期五,92.10849999999996
