年度學期,星期,功率_kW,課堂數,功率_每堂課_kW
113-1,星期一,785.1187527472528,156,5.032812517610594
113-1,星期二,810.9957733932733,180,4.505532074407074
113-1,星期三,623.9604221334222,152,4.105002777193567
113-1,星期四,438.2738974358974,161,2.7221981207198596
113-1,星期五,716.2203131868132,143,5.008533658649044
113-2,星期一,348.5821190476191,156,2.234500763125763
113-2,星期二,401.04445238095235,179,2.240471801010907
113-2,星期三,319.06403571428575,130,2.4543387362637366
113-2,星期四,322.9994523809524,176,1.8352241612554112
113-2,星期五,312.44561904761906,126,2.479727135298564
114-1,星期一,153.00962914862916,147,1.0408818309430554
114-1,星期二,121.79451132201133,176,0.6920142688750643
114-1,星期三,464.6033593073593,154,3.0169049305672684
114-1,星期四,584.3028776223775,166,3.5198968531468524
114-1,星期五,327.6315930735931,141,2.323628319670873
114-2,星期一,432.3285714285714,161,2.685270629991127
114-2,星期二,322.5975476190476,177,1.822585014796879
114-2,星期三,223.95416666666668,143,1.5661130536130536
114-2,星期四,448.2813333333333,168,2.6683412698412696
114-2,星期五,114.54349999999997,138,0.8300253623188404
