年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-1,星期一,7,07:00~08:00,8.331428571428571,25.56500000000001,-17.233571428571437
113-1,星期一,8,08:00~09:00,107.74733333333334,76.12666666666668,31.620666666666665
113-1,星期一,9,09:00~10:00,130.2771428571429,79.86090909090909,50.416233766233816
113-1,星期一,10,10:00~11:00,151.445,82.561,68.88399999999999
113-1,星期一,11,11:00~12:00,168.12230769230766,105.4,62.72230769230765
113-1,星期一,12,12:00~13:00,165.4338461538462,88.69818181818181,76.73566433566438
113-1,星期一,13,13:00~14:00,133.09428571428572,79.251,53.84328571428571
113-1,星期一,14,14:00~15:00,154.68615384615384,68.75090909090908,85.93524475524477
113-1,星期一,15,15:00~16:00,173.9813333333333,70.14750000000002,103.83383333333329
113-1,星期一,16,16:00~17:00,172.85733333333337,64.13214285714285,108.72519047619052
113-1,星期一,17,17:00~18:00,177.42666666666665,17.790769230769232,159.63589743589742
113-1,星期二,7,07:00~08:00,11.705384615384617,25.56500000000001,-13.859615384615392
113-1,星期二,8,08:00~09:00,114.34999999999998,76.12666666666668,38.2233333333333
113-1,星期二,9,09:00~10:00,122.94071428571428,79.86090909090909,43.07980519480519
113-1,星期二,10,10:00~11:00,158.94916666666666,82.561,76.38816666666665
113-1,星期二,11,11:00~12:00,172.42818181818183,105.4,67.02818181818182
113-1,星期二,12,12:00~13:00,178.726,88.69818181818181,90.02781818181819
113-1,星期二,13,13:00~14:00,163.5275,79.251,84.2765
113-1,星期二,14,14:00~15:00,159.69214285714287,68.75090909090908,90.9412337662338
113-1,星期二,15,15:00~16:00,160.37428571428572,70.14750000000002,90.2267857142857
113-1,星期二,16,16:00~17:00,166.77714285714288,64.13214285714285,102.64500000000002
113-1,星期二,17,17:00~18:00,159.8093333333333,17.790769230769232,142.01856410256408
113-1,星期三,7,07:00~08:00,9.344545454545454,25.56500000000001,-16.220454545454555
113-1,星期三,8,08:00~09:00,91.42,76.12666666666668,15.293333333333322
113-1,星期三,9,09:00~10:00,110.46214285714288,79.86090909090909,30.60123376623379
113-1,星期三,10,10:00~11:00,160.12600000000003,82.561,77.56500000000003
113-1,星期三,11,11:00~12:00,140.42000000000002,105.4,35.02000000000001
